time,acc,f1
77.45403170585632,0.3488,0.3488
136.55825901031494,0.4232,0.4232
193.60769629478455,0.4456,0.4456
258.24466943740845,0.4814,0.4814
324.1374399662018,0.5033,0.5033
386.0044550895691,0.5289,0.5289
444.68990898132324,0.5383,0.5383
507.38538122177124,0.5544,0.5544
563.2831633090973,0.5584,0.5584
618.327686548233,0.5742,0.5742
679.1835231781006,0.5638,0.5638
740.2722663879395,0.5838,0.5838
