time,acc,f1
198.0564169883728,0.4221,0.4221
303.3818414211273,0.5075,0.5075
403.1778814792633,0.5401,0.5401
499.73042583465576,0.5526,0.5526
595.081912279129,0.5736,0.5736
696.7491118907928,0.563,0.563
798.6128277778625,0.6035,0.6035
911.7989900112152,0.5944,0.5944
1010.1887631416321,0.593,0.593
1111.1823403835297,0.6076,0.6076
1206.468597650528,0.6147,0.6147
1309.5524327754974,0.6264,0.6264
1409.562192440033,0.6315,0.6315
1505.5252990722656,0.6403,0.6403
1608.1133227348328,0.5942,0.5942
1705.8737318515778,0.6421,0.6421
1816.7574815750122,0.6459,0.6459
1919.988343000412,0.6446,0.6446
2014.8877861499786,0.6517,0.6517
2135.2319192886353,0.6584,0.6584
2242.975818634033,0.6464,0.6464
2344.6120734214783,0.6493,0.6493
2452.749477624893,0.6463,0.6463
2561.367424964905,0.6619,0.6619
2657.6341423988342,0.6482,0.6482
2753.8941423892975,0.6641,0.6641
2855.8653650283813,0.6592,0.6592
2952.2435190677643,0.6597,0.6597
3054.33589887619,0.6559,0.6559
3162.4394087791443,0.6494,0.6494
3268.8584504127502,0.6643,0.6643
3371.243687391281,0.6609,0.6609
3463.8312022686005,0.6626,0.6626
3573.971104860306,0.6739,0.6739
3683.7660360336304,0.6677,0.6677
